Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
"อุปกรณ์เครื่องwaterjetเป็นไปตามมาตรการ
สายไฟเปลือกทองแดงมีฉนวน
ตู้PanelมีChecklistตรวจสอบมีกุญแจล็อคมีรายชื่อผู้รับผิดชอบ
มีstickerตรวจสอบประจำเดือน","The waterjet equipment is in accordance with the measures.
insulated copper sheathed power cable
Panel Cabinet has Checklist
There is a sticker to check the period.",ARU,REPCO (EE),Unsafe Condition,Electrical & Grounding,"อุปกรณ์เครื่องwaterjetเป็นไปตามมาตรการ
สายไฟเปลือกทองแดงมีฉนวน
ตู้PanelมีChecklistตรวจสอบมีกุญแจล็อคมีรายชื่อผู้รับผิดชอบ
มีstickerตรวจสอบประจำเดือน","The waterjet equipment is in accordance with the measures.
insulated copper sheathed power cable
Panel Cabinet has Checklist
There is a sticker to check the period."
Bluesheetติดกล่องบรรจุเครื่องมือGTGSpecialtoolsนำพื้นที่,Bluesheet mounted toolbox GTGSpecialtools take the space.,HOT,REPCO (EE),Unsafe Condition,Electrical & Grounding,Bluesheetติดกล่องบรรจุเครื่องมือGTGSpecialtoolsนำพื้นที่,Bluesheet mounted toolbox GTGSpecialtools take the space.
PowerplugGTGอยู่จุดSprayน้ำบริเวณOilcoolerมีโอกาสสัมผัสละอองน้ำได้รับความชื้นเกิดความเสียหายไฟฟ้าลัดวงจร,"Powerplug GTG is located at the point of water spraying around the Oilcooler, there is a chance of exposure to water spray, moisture, damage, short circuit.",HOT,REPCO (EE),Unsafe Condition,Electrical & Grounding,PowerplugGTGอยู่จุดSprayน้ำบริเวณOilcoolerมีโอกาสสัมผัสละอองน้ำได้รับความชื้นเกิดความเสียหายไฟฟ้าลัดวงจร,"Powerplug GTG is located at the point of water spraying around the Oilcooler, there is a chance of exposure to water spray, moisture, damage, short circuit."
ข้อต่อท่อConduitสายไฟห้อยลงมาManholeFireBox,"Conduit pipe fitting, wires hanging down, ManholeFireBox.",HOT,REPCO (EE),Unsafe Condition,Tools & Equipment,ข้อต่อท่อConduitสายไฟห้อยลงมาManholeFireBox,"Conduit pipe fitting, wires hanging down, ManholeFireBox."
งานขนย้ายอุปกรณ์ปิดล้อมพื้นที่,Moving equipment to enclose the area,HOT,REPCO (EE),Unsafe Condition,Lifting,งานขนย้ายอุปกรณ์ปิดล้อมพื้นที่,Moving equipment to enclose the area
จอดรถปิดล้อมพื้นที่มีกรวยด้านหน้าอัน,Park the car in an enclosed area with a cone in front of it.,OCU,REPCO (EE),Unsafe Condition,Transportation,จอดรถปิดล้อมพื้นที่มีกรวยด้านหน้าอัน,Park the car in an enclosed area with a cone in front of it.
งานRemovecoilCDUมีป้ายเตือนอันตราย,Removecoil CDU work has a hazard warning label.,COLD,REPCO (IE),Unsafe Condition,Lifting,งานRemovecoilCDUมีป้ายเตือนอันตราย,Removecoil CDU work has a hazard warning label.
ป้ายหมายเลขอุปกรณ์ชำรุด,Defective device number label.,COLD,REPCO (IE),Unsafe Condition,Others,ป้ายหมายเลขอุปกรณ์ชำรุด,Defective device number label.
Tubetransmitterมีลักษณะงอ,Tubetransmitter is bent.,HOT,REPCO (IE),Unsafe Condition,Tools & Equipment,Tubetransmitterมีลักษณะงอ,Tubetransmitter is bent.
มีเชือกผูกประแจภาชนะใส่น็อต,"There is a rope to tie a wrench, a container to put a nut.",HOT,REPCO (IE),Unsafe Condition,Work at height,มีเชือกผูกประแจภาชนะใส่น็อต,"There is a rope to tie a wrench, a container to put a nut."
งานเปลี่ยนLTประแจนำมาใช้งานนั่งร้านมีเชือกผูกมัด,Changing the LT wrench to use scaffolding with ropes to tie.,HOT,REPCO (IE),Unsafe Condition,Work at height,งานเปลี่ยนLTประแจนำมาใช้งานนั่งร้านมีเชือกผูกมัด,Changing the LT wrench to use scaffolding with ropes to tie.
งานchangecarriergasปิดล้อมพื้นที่ครอบคลุม,The changecarriergas enclosed the coverage area.,Olefins2,REPCO (IE),Unsafe Condition,Installation/ Alignment,งานchangecarriergasปิดล้อมพื้นที่ครอบคลุม,The changecarriergas enclosed the coverage area.
ติดตั้งนั่งร้านกีดขวางอุปกรณ์Plant,Install scaffolding to obstruct plant equipment.,Olefins2,REPCO (IE),Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านกีดขวางอุปกรณ์Plant,Install scaffolding to obstruct plant equipment.
Tagนั่งร้านหมดอายุ,Scaffolding tag expired,UT,REPCO (IE),Unsafe Condition,Scaffolding,Tagนั่งร้านหมดอายุ,Scaffolding tag expired
มีป้ายเตือนอับอากาศด้านหน้าSteamDrum,There is a confined space warning sign in front of the SteamDrum.,HOT,REPCO (INDT),Unsafe Condition,CSE,มีป้ายเตือนอับอากาศด้านหน้าSteamDrum,There is a confined space warning sign in front of the SteamDrum.
งานWaterjetหัวกระจายน้ำเป็นเหล็กต่อหัวFireWaterHydrantทองเหลือง>>แจ้งเจ้าของงานเปลี่ยนอุปกรณ์เหมาะสมในครั้ง,"Waterjet work, water distribution head is iron per head FireWaterHydrant brass >> inform the owner of the work to change the appropriate equipment in time.",HOT,"REPCO (ISS), HDS",Unsafe Condition,Water jet,งานWaterjetหัวกระจายน้ำเป็นเหล็กต่อหัวFireWaterHydrantทองเหลือง>>แจ้งเจ้าของงานเปลี่ยนอุปกรณ์เหมาะสมในครั้ง,"Waterjet work, water distribution head is iron per head FireWaterHydrant brass >> inform the owner of the work to change the appropriate equipment in time."
Platformมีช่องเปิด,Platform has openings,HOT,REPCO (ME),Unsafe Condition,Work at height,Platformมีช่องเปิด,Platform has openings
HandpumpงานHydrotestผ่านการตรวจสภาพ,Handpump. Hydrotest work. Passed the condition check.,Olefins2,REPCO (ME),Unsafe Condition,Pressure test,HandpumpงานHydrotestผ่านการตรวจสภาพ,Handpump. Hydrotest work. Passed the condition check.
ปิดล้อมพื้นที่,enclose the area,TFU,REPCO (ME),Unsafe Condition,Lifting,ปิดล้อมพื้นที่,enclose the area
รถHiabยกเครื่องElectrostaticมีแค่ป้ายวางด้านหน้าหลังรถปิดล้อมพื้นที่ครอบคลุม,"Hiab car, electrostatic overhaul, only the front and rear fascia encloses the coverage area.",COLD,REPCO (MER),Unsafe Condition,Lifting,รถHiabยกเครื่องElectrostaticมีแค่ป้ายวางด้านหน้าหลังรถปิดล้อมพื้นที่ครอบคลุม,"Hiab car, electrostatic overhaul, only the front and rear fascia encloses the coverage area."
